User,Review Year,Ratings,Review
Matt,2023,4, A lot of fun and very versatile play
Jennifer L. Myers,2023,5," Not my first Switch, but first from Amazon & I couldn’t be happier"
Dusty Dino,2022,4," Unimpressive Hardware, Overpriced, But Very Fun"
Kenny,2023,5, First owning this product
Barley,2023,5, Perfect for Handheld Use!
James Shadden,2023,5, Amazing condition. Not in box. Bought used.
Helen,2023,5," Came in reasonable time, was exactly what grandson wanted, new."
Cinnamon,2023,5, It's just... Squidtastic!
BarbBiAA Hendrix,2023,5, Fun
jennifer zimmer,2023,5, it came in a box
toddisit,2023,5, Good overall system
Aly,2023,5, I love my switch!
Marilyn Gallegos,2023,5, My son loves it!
Love2Shop,2023,5, My Son Loves it!
Josh Paul,2023,5," Absolutely worth the upgrade for handheld users, and worth considering for docked users too."
brandonmig,2023,5, AA++
Marco Abreu,2023,5," Don't cheap out, get an OLED."
j3ss,2023,5, Awesome handheld console
Ezekiel Medrano,2023,5, I love this console
canwulf,2023,5, excelente
Redbird,2023,5, Awesome product!
Wyrd2010,2022,4," Appealing, reasonably quick, glitch-free software"
Luis Andino,2023,5, Excelente y a tiempo
Abner Luna,2023,5, Worth it
Ciara,2023,5, Better than the lite
Hope,2023,5, Excelente y preciso
Malcolm Martin Turner,2022,5, One of the Best Products Ever Made - Period!
Noah Shofstall,2023,5, Perfect
Shelby Lewis,2023,5, As Expected
Michael Kesner,2023,5, Worth the price
A,2023,5, Nintendo Switch Oled
Eddie G.,2023,5, It was exactly what it said it said
Jesus,2023,5, Better than retail!
Jose C.,2023,5, The nicest switch special edition out there
Jaci Fazekas,2023,5, Awesome!
BMO,2021,5, Worth it if you're a handheld player
Matthew,2023,5, best Switch for portable gaming..
John Bennett,2023,4, Pretty good
Elias pinedo,2023,5, Good
Eric,2023,5, Remember to buy a screen protector to keep it safe!
Angel Gaugh,2023,5, Gift
american76angel,2023,4, Came with European plug
Sarah Onwudinjo,2023,5, Exactly as described!
Fernando Fuentes,2023,5, Love it
Javier Santamaría,2023,5, Buena compra
Vicente P.,2023,5, Muy bonita.
von cook,2023,5,100
Amazon Customer,2023,4, Wonderful console
Christina Derr,2023,5, Lots of entertainment at home and on the go
Joanne gold,2023,4, Gift well received
Jewels1010,2023,5, We love the switch
Eagles Girl,2023,5, Love it
Dustin Lerdahl,2023,5, Looks even better in person
Susana,2023,5, Excelente igual a la imagen Original
Jermo,2023,5, You will love the display.
Stephanie,2023,5, I love this thing
Shaquira Richardson,2023,5, Excellent!!
Gabriel,2023,5, Perfecto!
Mazdak,2023,5, The definitive way to play switch games.
Dalynnda Teminakasa,2023,5, Love it!!!!
Lovecats,2023,5, Love it
Jeff,2023,5, 𝓼𝓽𝓾𝓷𝓷𝓲𝓷𝓰 screen💕💕❤️‍🔥
Brian D,2023,5, Fun for the kids
Destyni Harris,2023,5, Great game system
Justin,2022,5, It's NINTENDO!
Amazon Customer,2023,5, Amazing Gaming Console
Alton j,2023,5, Awesome
Robert the4th,2023,5, Fun game
Austen Morris,2023,4, All around a good product
MARIO ALBERTO CALVO CRUZ,2023,5, The screen is awesome!
Oldg,2023,5, Amazing a must have
Debra,2023,5, Charger
Astro.,2023,5," Product came as a Japanese console, but still perfect!"
Amazon Customer,2023,5, Worth it
Carlos,2023,5, Good
Michelle,2023,5, love it
Raquel montalvo,2023,5, Great game system
Josh,2023,5, Perfect
Antonio Randolph,2023,5, Everything
Jose Gomez,2023,5, Ta buena.
Sizzlingtree,2023,5, An appreciated gift
Carina,2023,5, Very fun!
Lyzziest,2023,5, Nice got American version
Crystal Lorraine Owens,2023,5, Best switch!
Daniell Mathews,2023,5, Perfect and fun
Terry L. Sult,2023,5, Nice.
PitariTenshi,2023,5, Perfect for Splatoon fans!
Martin B,2023,5, Pricey but a nice step up
Ian A,2023,5," If you don't have a switch, I would highly recommend this model"
Dillon,2023,5, Works great so far.
Lorie,2023,5, so beautiful
Manuel R.,2023,5, More than just another switch.
DONN S.,2023,5, Bought it for the Grand kids for when they come over.
Luciana,2023,5, Increíble
Denny,2023,5, this nintendo switch meets all my expectations
Jadrian Noel,2023,5, Review*
Victoria C.,2023,5, Addictive
Sharon donovan,2023,5, It's fun
Mia mendez,2022,4, The packaging was sub par.
Justin,2023,4, Good but be careful
Braydon Cunningham,2023,5, Great
Amazon Customer,2023,5, Fun
Cliente de Amazon,2023,5," Es nuevo, todo bien"
Nuisance Villain,2023,5, Went all out with this one.
Michelle Dzuba,2023,4," Switch is great, but given wrong plug."
Kaviedes,2023,5, Vivo en ecuador llego en excelente estado
