User,Review Year,Ratings,Review
Review Bits,2020,4, Beautiful console with few downsides (4.5 Rounded Up)
Geoff,2020,5," A Premium Console Experience that is Powerful, but that is just beginning to scratch its Potential"
Roy Correll,2021,5, Great step towards Next Gen Gaming
Xavier,2020,5, The Future Is Here
Viktor K.,2022,5, A True Next-Gen Experience
Paulcholio,2021,4," Great performance, and so far, 100% backwards compatible to PS4 games."
cali_kush70,2021,5, The PS5 (BEST console EVER?)
nojtek,2020,5, So far So good
Slug Jones,2021,5," The scalpers and chip shortage sucks, but if you get one, it’s a great system"
elvin,2020,5," Great power for the price, very few flaws."
William,2020,5, Good stuff
David in FL,2020,5, PS5: Next Generation Console Comes Through
Calvin,2020,5, PS5 Mind-blowing...Amazon Exceeds Expectations!
Thomas,2023,3, Great system with the right set up. Defect found that Sony makes you pay for!
Terry,2021,5, The wait is over!!!
Darkmane,2021,5, The Real Next Gen Console
LezGrl79,2021,5, Worth it if you can get one
Chance Murray,2021,4," For those still trying, you’re not missing out on much."
EEMAN,2021,5, the NVMe is blazingly fast
Phil,2020,5," Bulky, but Fantastic System And a Message to Stock Complainers."
Jerry,2020,3," Great system, but missing charging cable"
Daniel,2021,5, Proud owner of the Playstation 5
Amazon Customer,2021,5, One of the best consoles (if you can find one)
Shef,2020,5, PS5 is a Massive Beauty
James D.,2022,5, Incredible Stories on PS5
Theo M.,2021,5, Perfect console for next gen gaming.
DawgPhart,2020,5, A Generational Leap
Bagelz,2020,5, Copy/Backup your Saved Data Now! (If you don't use cloud save)
Dr. Fishopolis,2021,5," I have seen the future friends, and It Is Good"
Nish Mistry,2021,5, Next Generation Console
Manuel Isaac,2021,5, 20/10
Naren Krithivas,2021,5," Great system, performance, and controller. Frustrating UI."
Troi,2020,3, It's a new console alright...
alex,2021,4, Review after 1 month of use
André,2020,5, Feeling very lucky to have gotten a pre-order — amazing console!
Matthew Rhoads,2020,5, Phenomenal Console
Javier,2021,5, You can’t go wrong with this
Rayson’s Distribution LLC,2022,5, The best console you can get
Michael P. Oconnor,2020,4," I love the PS5, but it not perfect"
The David,2020,5," Love my PS5, it's worthy of the hype!"
Michelle B,2021,5, Amazing! Esp with a 65” OLED & Sonos!
Dorian park,2022,5, Absolutely love it
B. Ablia,2021,5, Great console!
Katie and butch,2021,4, Get yourself one because it's worth every penny.
EDHOLLA,2020,5, Amazing system. I recommend it highly.
Brian Y,2020,5," The console is amazing, and the ordering process was easy per usual"
Shadow,2021,5," PS5 is great, but launch could've been better."
Reggie,2020,4, The Future of Gaming Arrives
Ike,2020,5, Breath taking
Wilson F.,2022,5," Came fast, happy with purchase."
Fonzin,2020,5, You’ll get all the single moms for sure!
Amzn Cust,2020,4, Extremely Disappointed then Pleasantly Surprised
Tim,2021,5, Amazing System (if you can find one)
LoneWolf22,2020,5, High Stress and terrible bots....
KPM,2021,4, Great but not a generational defining console
Blink,2022,5, poggers
Alexandre Schutze,2021,5, The best console I ever had.
victor,2021,5, Future of gaming
B. Martinez,2021,4, Impressed PC gamer
Steven Rampello,2021,5, Works Fine
BryBoi,2020,4, It's a playstation
Augustin,2021,5, Amazing Advancement for gaming
Amber,2020,5, Unique design... interesting controller! Great system
Chhumlong Phin,2021,4, Finally a PS5
Stephen A,2021,5," Great Graphics, so happy."
tedleefontain,2020,5, Can I rate this higher?
Konner McIntosh,2020,5, The future of gaming!!
Kiril Vasilev,2021,5," Great product, you get what you pay for."
Carlos V.,2021,5, Yup
STEVEN,2022,5, Awesome
Mark,2021,5, Great hardware but semiconductor shortage is slowing library growth
E. Seekford,2020,4, The Playstation 5 is a very good console with a few problems...
Katie Weisenburger,2021,5, Great Gaming System
Dwayne Lynch,2021,5, Worth the wait and far exceeded my expectations
Dean R.,2021,5, Very appealing but lacks some Key features that the Xbox series x capitalizes on.
C.L. Ramirez,2021,5, I WISH I COULD PROVIDE DIFFERENT RATING FOR VENDORS
TF,2021,1, Garbage! Garbage! Garbage
PH,2022,5, Delivered as advertised
NegroISO,2020,4, Backwards Compatibility - Launch Quarter Window
Amazon Customer,2020,5, Too much to say..... lol
Gabby,2021,5, Absolutely worth it!
Aravind,2020,5, Dual Sense controller is the game changer
Chosen One,2021,1, Faulty “Drifting” Controller Quickly Renders System Unusable
A,2021,5, Amazing game console!
Adrienne Sturgeon,2021,5," Great purchase, worth every penny!"
Bruce Wang,2021,5," What else can I say, Its awesome if you manage to buy one !"
Dawson K.,2021,5, A new generation is here!
Brad Smith,2020,5," Ps5 is big, ugly, and cool af."
Parth Bhuta,2021,5, Great gaming console
patrick,2021,4," Do not pay more than retail, it’s not even worth that much"
Bruno,2020,5, Great console!
Blake Leach,2021,5, The PS5 is worth the upgrade
Courtney,2020,5," Runs amazing, got it on release day for $500"
Mario,2020,5," Ps5 Hermosa, fina y silenciosa"
Jeannie,2021,5, Great System! Love the Dual-Sense Controller
brandon stewart,2021,4, Everything is good and as expected
A Guy Who Buys Stuff On Amazon,2021,4, Step Into The Future Of Gaming.
Sebastian,2021,5, Generational leap forward but not without some flaws.
a.trabeck,2021,5, You know its a PS5
Nopublicname,2021,5, Fun stuff.
Deya Ammar,2021,5," Great console, but where are the games?"
Word,2021,5, Great potential (and short load times) in this
Tenet,2021,5, Playstation has done it again!
ZLMom,2021,5, Believe the hype
Michael B.,2021,5, Massive canvis
Vini,2021,5, So lucky to get one
Johnnie,2021,5, Good Review
Justin Smith,2022,5, THE BEST NEXT GEN CONSOLE.
Julio,2020,5, Next-Gen Is Here
Mike Capuano,2020,5," Glad to have it, but you MAY want to wait."
Zach bynes,2021,5, It’s good!
Darien,2021,5, Very nice!!
Nicholas,2020,5, A true next gen console
Matthew,2021,5, Worth the money!
Chase,2020,4, Loving it so far
Catmandonut,2021,5, I like discs and I cannot lie....
PJ Jameson,2020,5, Great next-gen system with amazing load times
Corey bryan,2021,4, Console box was in horrible condition
So,2022,5, Couldnt be here without you
Hendo,2020,5, Is it time to purchase a Next-Gen Console?
Invisable Ewok,2022,2, The best console you can't buy.
Isaiah Medellin,2020,5, Great Next Generation system!
KindHeart :),2021,5, I’m so AMAZED THANK U AMAZON LUV MY PS5 :)
Balaam Bifrost,2021,5, You can do it!
Kyle Nguyen,2021,4, PC Replacement?
Shanordo Scott,2021,5," Very worth waiting, don’t pay more than 500"
garret wood,2020,5, Quite the upgrade.
TechHead,2020,5, Lightning fast and feels next gen
ronnell macklin,2021,4, Great console but over priced at the time of purchase with shipping!
Loni P.,2021,5, Finally got a ps5
Seth M Noar,2021,5, spectacular.
Anthony Rubino,2020,5, Seriously Amazing
Joey,2020,5, The Future is FAST.
Adam Kreisler,2021,4, Needs to be more communicative
Arya Bakhti,2021,5, out of this world graphics
Goodrats,2020,5, So far...So amazing!
Nikk,2020,5, I got mine on release date.
Damian Doty,2020,5, Does Exactly What it Says on the Tin
Alex Cruz,2020,5, Absolutely in love
Joshua Epps,2022,5, Awesome
Dion,2020,5, Great buy!! Ps5 for the win!!!
Kramer Drummer,2021,4, Not 5 stars for one simple reason
Johnebs,2020,4, Well rounded console. But dont pay more than the MSRP.
Cliff Chamberlin,2021,5, So glad I got this
Fox Die,2021,5, Worth the purchase..if you get that far atleast.
Dr A,2020,5, Worth the hype! PS5 is the real deal
Christine,2021,5, Amazing
Harshdeep Kahlon,2020,4, Amazing Controller. Questionable Backwards Compatibility.
Sonya,2021,5, Worth the wait!
Maul Scarreign,2021,5, Love it
Loveell,2021,5, Powerful innovative console
sean diaz,2021,5, Amazon does it best
D. Burton,2021,5, Thank you Treasure Truck!!!
Alexander,2021,5, Blows all other consoles out of the water!
Rotas,2021,5, Best console ever
Cuong D.,2020,5," I bought this for myself, or so I thought."
Nolan,2021,5, MUCH FASTER THAN THE PS4!!!🤩 10/10
ZVB73,2020,5, Big Chungus
Tyler,2021,4, GFX and load times are FIRE!!!
AleLizama,2022,5, Absolute beast!
Solid Snake,2022,5, PS5
E-Man,2020,5, Ninth Generation Gaming is HERE!
Bryant,2021,4," Worth the play, not the price."
Rohan Patel,2021,5, Great set up by Sony
WayneW89,2021,5, This is staying for awhile.
Caezar Romero,2021,5, Wow!!! Just Wow!!!!
Joshua Szpakowski,2020,5, Big Upgrade from Previous Generation
Earl,2021,5," Wait for a restock, don’t pay a reseller"
Aluah Alishlah,2020,5, Amazon you saved Christmas !!!
Anstey Family,2021,5, BE PATIENT. and be willing to wake up at 3 am lol
SuSeQ,2021,5," Yes, it's a great system."
Alek,2022,5, Best purchase ever
curiousorb,2022,5, I LOVE MY PS5!!!
D. Downey,2021,5," PS5 great, Sony distribution is horrible and the bots and scalpers have the advantage."
mustafa quraishi,2020,4," Good Console, Bad Launch"
Ryan Nasir,2022,1, Not a good System!
RR,2021,5, Holy crap I got one!
J. Perez,2021,5, If you get a chance just buy it.
Jerry,2021,4, Great console horrible user interface
Zack Campbell,2020,5," The best console I have ever bought, and the only new one that really feels NEXT GEN"
Paul Spector,2021,5," Bad rollout, quite the product"
Brendan,2021,5, Very Happy Little Brother!
DangerWillRobinson,2020,5, Way better than Xbox!
G.Spinosi,2021,5, PS5 Review
Martin Agsaulio,2021,4, Good luck gamers.
Kristen,2021,5, One of the best gaming console
JustaRandomGuy,2020,5, The Next Gen Game Console!
Walbert Matos,2021,5, 5 months with it and 0 issues so far.
Joshua T.,2021,5," Great service, fast delivery, works perfectly"
Joe Hanna,2021,5, This thing is huge!
WLouie,2020,5, This system is huge!
ShadowYYZ,2021,5, As an xbox enthusiast this was the way.
Blade Wolfhart,2021,5, Best PlayStation yet
H. Jack,2020,5, Great Console
Charles A Hatcher,2021,5, Amazing!!!!
Dequentin,2021,5, Great console Purchased at MSRB price (Dont give in to the scalpers everyone)
Amazon Customer,2021,5, The controller is amazing
Veronica Sharpe,2021,5, A must have for any gamer
Trina,2021,4, Glad to get a PS5. Now to test it.
Nigel Haris,2021,5, I love my ps5
antoine rivers,2022,5, Ps5 best in town
DDDDD3978,2021,5, Next Gen Controller
Avalanche09,2021,5, The PS5 Is The Better System Over The Xbox Series X
Jose Lozano,2022,5, So happy!
Edwin,2020,4, !
Teddy,2021,5, PS5 FTW
Frankie Orona,2021,5, The future of gaming
Brandi,2020,5, Amazon delivering more smiles with PS5!
Alexander Gonzalez,2020,5, What a console
Brandon,2021,5, Amazing!
P. Ferdinand,2021,5, What's there to say?
Tim,2021,5, Next gen graphics looking nice
l,2022,5, cool
charles,2021,5, By far the best next gen console
Miguel A.,2021,5, Love my PS5!!!
Cece!,2021,4, Ehh
KEVIN DELGADO,2021,5, next gen is here
Shay Holmes,2021,5, Awesome
Drew,2020,5, Finally got one!!!
Omar Attia,2021,5, Great quality and design
HODChief,2022,5, G. O. A. T.
Lostinwoods,2021,5, A New Generation of Gaming
J K,2020,5, I’m a scalper!
Ronald E Hager,2021,4, PlayStation 5 Console
FABIAN,2022,5, Nice
Alex613664,2021,5, SUPER FAST CONSOLE
brett wardlaw,2021,4, Sometimes analog sticks unresponsive after power on console! This is a frequent n ongoing issue!!!
Pandagurl,2021,3, Wait for next gen games to come out
Alexis Bruno,2021,5, Great Console
David Guido,2020,5," Love it, best PlayStation system yet"
Tammie E Guilford,2022,5, Love it!
Swag,2021,4," games load quickly, but fan can be loud and this thing is big and heavy"
Mario Hernandez,2021,4, Great Console but hard to get
