Game,Console,Genre,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last Update,Relase Year
"Batman: Arkham City
",PS3,Action,Warner Bros. Interactive,Rocksteady Studios,9.5,9.6,N/A,N/A,5.54,2.72,1.89,0.11,0.82,18th Oct 11,N/A,2011
"Grand Theft Auto V
",PS3,Action,Rockstar Games,Rockstar North,9.5,9.4,N/A,N/A,20.32,6.37,9.85,0.99,3.12,17th Sep 13,N/A,2013
"Metal Gear Solid 4: Guns of the Patriots
",PS3,Action,Konami,Kojima Productions,9.5,9.3,9.8,6.00,N/A,N/A,N/A,N/A,N/A,12th Jun 08,N/A,2008
"God of War III
",PS3,Action,Sony Computer Entertainment,SCEA Santa Monica Studio,9.4,9.2,9.4,7.60,N/A,N/A,N/A,N/A,N/A,16th Mar 10,N/A,2010
"Metal Gear Solid: Peace Walker
",PSP,Action,Konami,Kojima Productions,9.4,8.6,N/A,N/A,2.08,0.46,0.42,0.96,0.25,08th Jun 10,N/A,2010
"Alan Wake
",X360,Action,Microsoft Game Studios,Remedy Entertainment,9.2,8.3,N/A,N/A,1.33,0.66,0.50,0.05,0.12,18th May 10,N/A,2010
"Uncharted 2: Among Thieves
",PS3,Action,Sony Computer Entertainment,Naughty Dog,9.2,9.5,9.6,N/A,6.74,3.28,2.22,0.21,1.02,13th Oct 09,N/A,2009
"Kid Icarus: Uprising
",3DS,Action,Nintendo,Project Sora,9.2,8,N/A,1.36,N/A,N/A,N/A,N/A,N/A,23rd Mar 12,05th Jan 18,2012
"Dishonored
",PC,Action,Bethesda Softworks,Arkane Studios,9.1,N/A,N/A,3.00,N/A,N/A,N/A,N/A,N/A,16th Apr 13,01st Jan 18,2013
"Batman: Arkham Asylum
",PS3,Action,Eidos Interactive,Rocksteady Studios,9.1,9,N/A,N/A,4.28,2.26,1.33,0.07,0.63,25th Aug 09,N/A,2009
"Bayonetta
",X360,Action,Sega,PlatinumGames,9.1,8.9,9.5,N/A,0.93,0.51,0.25,0.09,0.08,05th Jan 10,N/A,2010
"Red Dead Redemption
",PS3,Action,Rockstar Games,Rockstar San Diego,9.1,9.5,N/A,N/A,6.57,2.82,2.58,0.17,1.00,11th Oct 11,N/A,2011
"Red Dead Redemption
",X360,Action,Rockstar Games,Rockstar San Diego,9.1,9.5,10,N/A,6.50,3.77,2.03,0.09,0.60,18th May 10,N/A,2010
"Assassin's Creed II
",PS3,Action,Ubisoft,Ubisoft Montreal,9,9,N/A,N/A,5.57,2.54,1.95,0.21,0.86,17th Nov 09,03rd Jan 18,2009
"Assassin's Creed II
",X360,Action,Ubisoft,Ubisoft Montreal,9,9.1,N/A,N/A,5.30,3.14,1.55,0.08,0.52,17th Nov 09,N/A,2009
"Batman: Arkham Asylum
",X360,Action,Eidos Interactive,Rocksteady Studios,9,9.1,N/A,N/A,3.54,2.24,0.95,0.02,0.33,25th Aug 09,N/A,2009
"Devil May Cry 5
",XOne,Action,Capcom,Capcom,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,08th Mar 19,21st Mar 19,2019
"Ghostrunner
",PC,Action,505 Games,One More Level,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27th Oct 20,15th Sep 20,2020
